id,ime,cena,1.registracija,Prevoženih,Gorivo,Menjalnik,Motor,Baterija,Starost
22784509,Audi A6 Avant 40 TDI S tronic S LINE+NEMSKI+ACC+67200km+1LASTNIK,28990.0,2020,67214 km,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",,
22784479,Audi A4 2.0 TDI 150KS.S-LINE.SLOVENSKI.145.000KM.KOT NOV..,16990.0,2019,145000 km,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",,
22784462,Audi A6 40 TDI Sport S tronic MATRIX VIRTUAL KAMERA...,25990.0,2021,124000 km,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",,
22088102,Audi A4 Avant 35 TDI S tronic S line+FULL LED+ACC+KLJUKA+KAMERA,19990.0,2020,148000 km,diesel motor,avtomatski menjalnik,"1968 ccm, 120 kW / 163 KM",,
22784430,Audi A4 Avant quattro 40 TDI•S-LINE•MATRIX•ACC•MASAŽA•LIZING,18950.0,2020,169000 km,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",,
22784429,Audi A4 Avant quattro 40 TDI S line S tronic PANO+LED+KAMERA,19990.0,2020,174013 km,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",,
22143711,Audi A5 Sportback 2.0 TFSI S TRONIC G-TRON-FUL LED-USNJE-VELIKA NAVI,,2018,155000 km,bencinski motor,avtomatski menjalnik,"1984 ccm, 125 kW / 170 KM",,
22784426,Audi Q5 quattro 2.0 TDI clean diesel 3xSLine Plus S-tron..,14990.0,2015,267000 km,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",,
22784393,Audi A6 2.5 V6 TDI Tiptronic QUATTRO 4x4 ,390.0,2000,320000 km,diesel motor,avtomatski menjalnik,"2496 ccm, 110 kW / 150 KM",,
22784368,Audi A4 Avant quattro 40 TDI Advanced S tronic MATRIX+BANG+ACC,19990.0,2023,170009 km,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",,
22784367,Audi Q8 Q 50 TDI 3xSLINE MATRIX ACC 360 SOFT CLOSE 23COL,,2024,65300 km,diesel motor,avtomatski menjalnik,"2967 ccm, 210 kW / 286 KM",,
22784365,Audi A6 2.4 V6,880.0,2005,318000 km,bencinski motor,ročni menjalnik,"2393 ccm, 130 kW / 177 KM",,
22774600,Audi A6 Avant 50 TDI QUATTRO MATRIX-PANO-ACC-KAM-HUD-KLJUKA-B O,35900.0,2020,149500 km,diesel motor,avtomatski menjalnik,"2967 ccm, 210 kW / 286 KM",,
22784358,Audi A6 Avant 40 TDI S tronic S LINE ACC+KAMERA+KLJUKA+GARANCIJA,19980.0,2022,209006 km,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",,
22784349,Audi A6 Avant 40 TDI 150KW S TRONIC QUATTRO  - FULL LED -,27990.0,2020,155214 km,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",,
22784334,Audi A4 Avant 2.0 TDI VELIKI SERVIS+BIXENON+ŠPORTNI SEDEŽI,6990.0,2014,275109 km,diesel motor,ročni menjalnik,"1968 ccm, 88 kW / 120 KM",,
22784329,Audi A5 Sportback quattro 2.0 TDI clean diesel Business Sport,11990.0,2014,246647 km,diesel motor,avtomatski menjalnik,"1968 ccm, 130 kW / 177 KM",,
22784291,Audi A1 2.0 TDI Ambition,7490.0,2012,223000 km,diesel motor,ročni menjalnik,"1968 ccm, 105 kW / 143 KM",,
22553065,Audi Q3 35 TDI S tronic -SLO-MATRIX-1.LAST-MRTVI KOT-DAB-,,2021,145000 km,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",,
22655808,Audi A4 Avant 40 TDI S-LINE - S TRONIC-VIRTUAL-ACC-MATRIX-LANE,19999.0,2020,204490 km,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",,
22784208,Audi A4 Avant 30 TDI S line S tronic + JAMSTVO 12 MESECEV,21490.0,2024,168500 km,diesel motor,avtomatski menjalnik,"1968 ccm, 100 kW / 136 KM",,
22731969,Audi A3 40 TFSI e Business Stronic 150kW.KAMERA.LED.BENCIN,19999.0,2021,114526 km,hibridni pogon,avtomatski menjalnik,"1395 ccm, 150 kW / 204 KM",,
22781232,Audi A3 2.0 TDI-VIRTUAL-XENON+LED-LIZING ZA TUJCE-,12950.0,2017,223000 km,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",,
22781222,Audi e-tron Sportback 55 quattro S line.NEMŠKI+4ALU.KAMERA.USNJE.KLJUKA,39999.0,2022,49000 km,elektro pogon,,300 kW,95 kWh,
22781135,Audi Q5 3.0 TDI quattro S tronic FINANCIRANJE BREZ POLOGA,9980.0,2009,250576 km,diesel motor,avtomatski menjalnik,"2967 ccm, 176 kW / 239 KM",,
22781098,Audi A4 Avant 35 TDI AVT|MATRIX|ACC|PANORAMA|LED|VLEČNA KLJUKA,22950.0,2022,72000 km,diesel motor,avtomatski menjalnik,"1968 ccm, 120 kW / 163 KM",,
22781025,Audi A6 Avant 40 TDI quattro Design S tronic,28400.0,2021,136000 km,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",,
